,year,county,state,total_deaths,avg_unemployment
245,2015,henderson,TN,4,8.858333333333333
246,2015,fentress,TN,2,7.283333333333333
247,2015,van buren,TN,0,7.233333333333333
248,2017,cocke,TN,6,5.275
249,2015,roane,TN,15,7.175
250,2015,warren,TN,5,8.858333333333333
251,2018,carroll,TN,0,4.933333333333334
252,2018,dickson,TN,10,3.0083333333333333
253,2018,humphreys,TN,1,4.358333333333333
254,2015,hawkins,TN,14,5.866666666666667
255,2016,overton,TN,6,5.216666666666667
256,2018,robertson,TN,10,3.7333333333333334
257,2017,marion,TN,2,3.566666666666667
258,2017,clay,TN,2,5.158333333333333
259,2017,tipton,TN,12,5.183333333333334
260,2018,campbell,TN,3,4.758333333333333
261,2016,carroll,TN,1,6.7
262,2015,pickett,TN,0,4.391666666666667
263,2015,blount,TN,19,5.175
264,2016,johnson,TN,1,5.541666666666667
265,2015,lauderdale,TN,0,6.175
266,2018,perry,TN,0,4.358333333333333
267,2018,madison,TN,5,4.758333333333333
268,2016,sevier,TN,17,7.091666666666667
269,2015,clay,TN,2,8.858333333333333
270,2016,sequatchie,TN,3,4.941666666666666
271,2017,loudon,TN,18,5.416666666666667
272,2017,blount,TN,29,3.55
273,2017,rutherford,TN,48,4.558333333333334
274,2017,trousdale,TN,2,4.566666666666666
275,2015,decatur,TN,5,7.875
276,2016,hardin,TN,7,3.9583333333333335
277,2018,wayne,TN,4,3.408333333333333
278,2016,robertson,TN,9,5.008333333333333
279,2016,bradley,TN,7,4.45
280,2015,jefferson,TN,2,7.875
281,2015,tipton,TN,12,8.275
282,2015,robertson,TN,12,6.175
283,2018,white,TN,4,4.358333333333333
284,2015,white,TN,7,7.066666666666666
285,2015,grundy,TN,1,5.25
286,2016,cannon,TN,3,4.608333333333333
287,2016,jefferson,TN,3,6.858333333333333
288,2015,lewis,TN,0,5.825
289,2016,benton,TN,1,7.091666666666667
290,2016,loudon,TN,12,7.091666666666667
291,2018,rhea,TN,2,3.0083333333333333
292,2018,henry,TN,7,4.7
293,2016,hawkins,TN,19,4.941666666666666
294,2017,obion,TN,0,3.675
295,2015,union,TN,3,5.866666666666667
296,2016,humphreys,TN,2,5.908333333333333
297,2018,blount,TN,30,3.216666666666667
298,2015,jackson,TN,3,4.391666666666667
299,2015,bledsoe,TN,1,7.933333333333334
300,2017,benton,TN,5,5.416666666666667
301,2015,humphreys,TN,4,7.066666666666666
302,2016,fayette,TN,2,5.008333333333333
303,2016,henry,TN,4,6.3
304,2016,van buren,TN,3,6.191666666666666
305,2016,chester,TN,2,4.941666666666666
306,2018,warren,TN,4,4.95
307,2018,claiborne,TN,1,4.241666666666667
308,2018,washington,TN,9,4.7
309,2018,moore,TN,1,4.95
310,2015,sequatchie,TN,2,6.433333333333334
311,2018,hancock,TN,3,4.933333333333334
312,2018,cumberland,TN,7,4.358333333333333
313,2018,cocke,TN,6,4.7
314,2018,loudon,TN,7,4.925
315,2018,trousdale,TN,7,4.133333333333333
316,2017,putnam,TN,10,4.825
317,2018,fayette,TN,4,3.7333333333333334
318,2018,smith,TN,3,3.216666666666667
319,2017,cumberland,TN,9,4.666666666666667
320,2018,henderson,TN,6,4.95
321,2016,moore,TN,0,6.55
322,2018,greene,TN,18,3.216666666666667
323,2015,meigs,TN,0,4.833333333333333
324,2018,polk,TN,0,4.758333333333333
325,2018,benton,TN,1,4.925
326,2017,jackson,TN,2,2.816666666666667
327,2015,johnson,TN,3,6.858333333333333
328,2017,dyer,TN,1,4.858333333333333
329,2015,macon,TN,3,5.25
330,2017,warren,TN,1,5.158333333333333
331,2017,johnson,TN,1,4.825
